"Sex","Age","P1","P2","P3","E1","E2","E3","N1","N2","N3"
2,48,16,21,18,17,21,22,14,9,14
2,60,10,9,8,32,9,20,19,16,19
2,52,26,18,14,28,28,34,6,2,0
1,39,16,2,6,17,10,32,12,11,10
1,57,7,4,6,25,13,21,7,14,4
1,60,12,26,20,24,21,10,32,16,24
2,57,15,18,20,12,14,12,31,20,30
2,50,16,21,9,19,20,17,33,10,22
2,64,36,36,40,22,34,16,18,14,8
2,62,9,6,20,13,5,13,19,13,13
1,32,21,15,11,26,24,27,9,2,10
2,65,10,11,10,16,23,13,12,3,6
2,34,14,17,12,26,16,25,10,6,13
1,65,27,14,13,21,11,32,4,3,8
2,40,20,27,16,27,23,34,7,1,11
2,46,12,25,16,26,34,26,21,5,20
1,41,26,26,20,16,4,23,30,29,33
2,50,10,18,14,13,18,24,26,36,20
2,25,19,12,21,22,14,16,18,9,15
2,38,20,34,26,28,36,32,2,6,14
2,42,24,18,26,16,12,20,8,0,10
1,58,15,29,22,26,24,34,7,12,16
1,63,12,6,18,22,22,14,4,0,4
2,37,15,23,20,18,13,13,25,30,33
2,61,16,24,16,28,23,20,3,0,4
1,31,19,26,21,28,26,24,10,25,13
1,58,20,13,26,13,15,14,6,7,12
1,27,13,13,23,12,6,20,35,40,34
2,60,10,17,12,12,22,13,14,7,18
2,50,28,12,18,27,28,20,12,3,19
1,31,26,16,17,20,23,19,15,7,9
2,40,12,10,16,24,20,16,8,10,18
1,24,14,17,18,12,24,20,26,29,24
1,22,20,13,23,20,34,28,10,2,16
2,56,6,13,10,23,29,24,12,29,21
2,45,8,12,14,20,14,8,14,34,18
1,43,27,9,20,30,17,31,6,7,6
1,44,15,19,13,19,23,23,10,17,14
1,22,21,9,10,31,20,27,12,12,20
1,53,7,22,6,18,2,10,32,29,33
2,22,14,12,18,18,21,18,14,2,12
2,47,12,15,11,7,20,12,18,0,4
2,28,24,32,22,20,15,30,13,14,10
1,50,19,34,16,32,33,28,8,9,28
2,46,20,21,19,16,10,12,20,21,15
2,54,10,8,12,11,20,9,19,21,17
1,56,29,28,8,33,34,26,4,6,6
2,30,13,14,15,13,21,13,8,9,9
1,31,26,19,13,27,24,28,7,8,18
1,21,15,9,15,15,12,33,4,1,3
1,57,23,27,27,17,27,28,4,17,15
2,47,21,24,31,14,16,21,20,15,15
2,19,26,19,14,20,24,27,11,16,15
1,29,16,24,16,23,26,15,20,22,24
2,42,16,23,25,26,13,18,28,34,28
1,43,13,16,9,18,26,32,8,11,13
2,24,17,23,18,30,25,14,11,3,15
1,22,21,25,16,19,18,30,23,3,19
2,44,26,28,13,27,26,13,9,6,21
1,46,27,21,17,9,11,23,27,38,14
1,24,18,8,20,22,26,23,4,2,1
2,24,22,10,11,19,18,16,13,4,16
1,38,26,12,17,31,26,25,15,11,12
1,34,24,20,32,16,36,33,6,4,10
1,34,16,4,18,18,18,22,2,4,2
2,64,18,9,17,11,4,20,6,14,18
2,52,18,27,14,21,21,18,13,12,8
2,26,28,20,16,24,19,24,22,16,28
2,55,13,16,21,11,17,14,36,30,26
2,38,17,24,18,21,18,20,22,29,18
2,38,26,24,12,36,36,30,0,2,8
1,41,20,21,27,13,29,20,16,10,8
1,38,22,14,14,24,22,30,12,14,14
2,42,20,10,15,11,6,27,22,26,14
1,57,19,16,9,21,25,17,10,8,14
1,47,21,26,11,22,31,30,9,7,7
2,44,16,15,22,28,24,32,4,0,11
1,63,14,25,11,25,30,21,19,22,24
2,62,24,28,26,19,28,17,26,25,29
2,63,6,10,8,30,18,28,4,6,8
1,51,28,25,23,26,24,20,4,1,1
2,63,25,28,12,33,25,24,10,1,7
1,61,21,18,13,17,17,20,9,4,12
2,56,33,32,28,18,18,20,6,4,13
