"Sex","Age","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22","N23","N24","N25","N26","N27","N28","N29","N30","N31","N32","N33","N34","N35","N36","N37","N38","N39","N40","N41","N42","N43","N44","N45","N46","N47","N48","N49","N50","N51","N52","N53","N54","N55","N56","N57","N58","N59","N60"
"0",20,3,1,3,3,1,2,2,4,4,0,0,1,2,3,2,4,3,3,1,1,2,1,4,1,1,1,1,1,2,0,2,1,3,3,1,2,1,4,3,1,2,1,4,2,1,3,1,4,3,1,3,1,3,2,3,3,0,3,4,3
"1",29,1,1,2,4,3,3,2,0,4,2,3,1,3,4,1,1,2,4,4,4,4,1,1,1,3,2,1,4,0,1,1,1,3,3,3,1,2,4,4,4,3,2,4,3,4,2,1,0,4,3,1,1,3,3,4,0,0,3,3,3
"1",23,2,1,1,1,3,1,3,4,2,3,2,1,0,1,3,3,3,3,2,4,1,0,0,1,3,2,1,4,2,1,1,1,3,2,2,1,2,4,1,3,2,0,4,1,3,1,1,4,1,2,2,2,3,0,3,2,1,4,0,3
"1",34,3,1,3,4,3,1,3,4,4,0,3,1,3,2,3,3,3,3,3,3,3,1,1,3,3,4,1,4,3,1,3,1,2,2,3,2,2,3,3,3,3,0,3,1,1,3,1,4,3,1,1,1,4,4,3,3,2,4,4,3
"0",26,3,2,3,2,2,3,1,3,3,1,3,1,3,2,1,3,2,4,3,4,2,1,3,2,2,2,2,3,1,2,3,2,3,2,2,2,1,4,3,3,2,1,3,3,2,3,2,3,4,3,3,2,3,1,3,2,2,3,4,3
"1",25,1,2,2,2,2,1,2,3,3,2,1,3,2,3,1,2,1,3,3,2,1,1,3,3,1,2,1,1,2,1,3,2,3,3,2,1,2,3,2,1,1,1,3,3,1,1,1,3,2,1,1,2,3,1,3,2,1,3,3,1
"1",30,1,2,3,3,1,1,3,3,2,1,2,1,2,1,1,3,2,3,3,3,3,1,3,1,1,3,1,3,1,1,2,1,3,3,3,1,1,4,3,3,1,1,3,3,3,3,3,3,1,1,3,3,3,1,3,3,1,3,1,3
"1",26,1,1,4,3,2,2,4,4,4,2,0,2,3,3,3,3,2,4,3,2,1,2,1,2,1,1,1,3,1,1,3,1,3,3,2,1,1,4,3,3,1,1,4,2,2,3,1,4,2,2,1,1,3,3,1,3,3,4,1,1
"1",23,0,1,2,3,1,0,3,3,4,3,2,3,1,4,3,0,3,0,0,4,0,0,2,2,2,0,1,4,1,0,0,0,4,3,2,1,4,3,3,3,2,1,3,2,3,0,0,4,3,2,0,3,2,0,3,2,1,2,3,1
"0",23,1,1,3,2,3,2,2,4,3,1,3,2,2,2,3,2,3,2,3,4,3,2,0,2,2,1,1,2,1,2,3,2,3,2,3,2,1,4,1,3,3,2,1,3,4,2,2,4,2,2,0,2,2,2,3,4,0,4,2,3
