"Sex","Age","O1","O2","O3","QD1","QD2","QD3"
2,31,1.558,3.204,1.584,0.949,-0.057,-2.231
2,52,0.815,1.18,1.885,-1.408,0.641,-0.533
2,31,1.558,1.974,2.193,-0.834,1.161,-2.02
2,57,0.114,1.707,-0.018,-0.805,-1.632,-1.921
1,59,-0.539,-0.563,0.216,0.456,0.576,-0.431
2,49,-1.164,-0.789,-0.853,-0.045,1.056,-1.33
2,51,0.343,0.401,0.727,2.109,-1.544,-0.995
1,43,3.064,2.849,3.692,-0.685,1.314,-1.434
1,42,2.699,3.204,3.235,0.423,1.813,0.648
1,32,0.815,2.849,2.854,0.104,-0.119,-0.473
1,57,3.511,2.849,3.235,2.144,1.753,-0.257
2,49,0.815,0.917,1.885,-0.071,0.526,-0.991
2,32,1.058,1.18,-0.018,-0.166,-0.287,-1.362
1,64,1.818,1.707,0.727,-2.252,-0.718,-0.821
1,48,0.576,0.917,1.885,-1.939,1.328,-0.16
1,29,5.329,4.237,5.515,-1.177,-0.792,-2.647
2,48,-0.326,-0.094,-0.655,-1.467,-2.424,-2.28
2,50,2.381,1.707,2.513,-1.367,0.149,-2.945
2,23,0.815,1.443,1.885,-1.504,-1.159,-1.791
2,27,1.058,0.917,0.727,-1.557,1.412,-0.855
1,59,0.576,2.248,1.003,-1.772,0.487,-0.534
2,64,2.699,1.707,3.235,-1.277,-1.949,-1.581
1,58,3.064,1.443,2.193,0.074,1.243,-1.536
2,61,-0.108,0.657,0.727,-1.25,0.504,-0.77
1,41,5.329,3.204,5.515,-0.451,1.121,-0.289
1,42,2.09,2.248,1.584,0.872,2.838,-0.22
1,47,0.114,-1.013,-0.018,-1.154,2.071,-0.991
2,32,1.058,2.537,0.727,1.742,2.126,-0.949
2,37,2.699,0.401,5.515,2.069,2.349,-1.243
1,31,1.558,1.18,0.727,0.894,2.204,-1.27
2,64,0.815,0.401,0.727,-0.143,1.078,-0.358
2,40,5.329,3.204,5.515,-0.578,0.719,-0.623
2,36,-0.108,1.443,0.464,-1.153,1.148,-1.721
